folder_a,folder_b,unique_a,unique_b,common,ratio_min,jaccard,files_a,files_b
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_4/4.2/4.2/4.2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_4/4.2/4.2/4.2,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_4/4.3/4.3/4.3,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_4/4.3/4.3/4.3,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_4/4.4/4.4/4.4,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_4/4.4/4.4/4.4,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_4/4.5/4.5/4.5,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_4/4.5/4.5/4.5,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_4/lab_4_zajecia/lab_4/lab_4,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_4/lab_4_zajecia/lab_4/lab_4,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_4/różnica/roznica/roznica,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_4/różnica/roznica/roznica,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_4/szukajmax_64/szukajmax_64/szukajmax_64,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_4/szukajmax_64/szukajmax_64/szukajmax_64,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_4/tablica/tab/tab,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_4/tablica/tab/tab,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/5.1/5.1b,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/5.1/5.1b,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/5.3/5.3/5.3,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/5.3/5.3/5.3,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/5.4/5.4,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/5.4/5.4,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/5.5/5.5,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/5.5/5.5,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/5.6/5.6,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/5.6/5.6,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/Laboratorium_5/potega/potega,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/Laboratorium_5/potega/potega,19,19,18,0.9474,0.9000,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/zad.1/zad.1,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/zad.1/zad.1,19,19,18,0.9474,0.9000,19,19
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Algorytmy i Struktury Danych,Paczki Infa/2 SEM,198,3638,187,0.9444,0.0512,209,4126
Paczka II sem. 21_22/Programowanie Obiektowe/Programowanie/Symfonia C++ - programy/Liczby pierwsze,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/Programowanie/Symfonia C++ - programy/Liczby pierwsze,22,18,17,0.9444,0.7391,23,19
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/Programowanie/Symfonia C++ - programy/Liczby pierwsze,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/Programowanie/Symfonia C++ - programy/Liczby pierwsze,21,18,17,0.9444,0.7727,22,19
Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Bazy Danych,758,122,115,0.9426,0.1503,770,132
Paczka I sem. 22_23/Wytwarzanie Aplikacji Internetowych/Egzaminy,Paczka I sem./Wytwarzanie Aplikacji Internetowych/Egzaminy,110,17,16,0.9412,0.1441,123,17
Paczka I sem./Wytwarzanie Aplikacji Internetowych/Egzaminy,Paczki INFA/Paczka 1 sem. 23_24/(WAI) Wytwarzania Aplikacji Internetowych/Egzamin,17,117,16,0.9412,0.1356,17,130
Paczka II sem. 21_22/Algorytmy i Struktury Danych,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych/Egzamin,187,17,16,0.9412,0.0851,199,17
Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych/Egzamin,331,17,16,0.9412,0.0482,350,17
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Algorytmy i Struktury Danych,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych/Egzamin,198,17,16,0.9412,0.0804,209,17
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/laboratorium_2/lab_2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/laboratorium_2/lab_2,17,17,16,0.9412,0.8889,17,17
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_3.5/lab_3.5,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_3.5/lab_3.5,17,17,16,0.9412,0.8889,17,17
III semestr 2024_2025/Databases/Exams,Paczki INFA/Paczka 3 sem. 23_24/(BD) Bazy Danych/Wykłady/Egzamin,49,33,31,0.9394,0.6078,49,33
Paczki INFA/Paczka 3 sem. 23_24/(FW) Fizyka współczesna/Kolokwium,Paczki Infa/3 SEM/(FW) Fizyka Współczesna/Kolokwium,89,82,77,0.9390,0.8191,89,82
Paczka I sem./Hipertekst i Hipermedia,Paczki INFA/Paczka 1 sem. 23_24/(HiH) Hipertekst i Hipermedia,16,87,15,0.9375,0.1705,16,88
Paczka I sem./Hipertekst i Hipermedia,Paczki Infa/1 SEM/(HiH) Hipertekst i Hipermedia,16,87,15,0.9375,0.1705,16,88
Paczka II sem. 21_22/Algorytmy i Struktury Danych/egzaminy,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych/Egzamin,16,17,15,0.9375,0.8333,16,17
Paczka II sem. 21_22/Programowanie Obiektowe/Programowanie/Symfonia C++ - programy/Liczby pierwsze/Liczby pierwsze,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/Programowanie/Symfonia C++ - programy/Liczby pierwsze/Liczby pierwsze,17,16,15,0.9375,0.8333,18,17
Paczki INFA/Paczka 3 sem. 23_24/(PAA) Podstawy Analizy Algorytmów/Wykłady/Egzamin,Paczki Infa/3 SEM/(PAA) Podstawy Analizy Algorytmów/Egzamin,16,86,15,0.9375,0.1724,16,93
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/lab_2.3,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/lab_2.3,16,16,15,0.9375,0.8824,16,16
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/lab_nowa2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/lab_nowa2,16,16,15,0.9375,0.8824,19,19
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/laboratorium,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/laboratorium,16,16,15,0.9375,0.8824,18,18
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_3.2/lab_3.2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_3.2/lab_3.2,16,16,15,0.9375,0.8824,16,16
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_3.3/lab_3.3,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_3.3/lab_3.3,16,16,15,0.9375,0.8824,16,16
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_3.4/lab_3.4,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_3.4/lab_3.4,16,16,15,0.9375,0.8824,16,16
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_A/lab_A,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_A/lab_A,16,16,15,0.9375,0.8824,16,16
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_A_2/lab_A_2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_A_2/lab_A_2,16,16,15,0.9375,0.8824,16,16
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_A_3/lab_A_3,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_A_3/lab_A_3,16,16,15,0.9375,0.8824,16,16
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/zad.2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/zad.2,16,16,15,0.9375,0.8824,16,16
Paczki Infa/4 SEM/(SI) Sztuczna Inteligencja/Stara Paczka/Lab/Labki (Jeszcze Starsze)/labki 2014,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Sztuczna Inteligencja/Lab/Labki (Jeszcze Starsze)/labki 2014,49,47,44,0.9362,0.8462,57,55
Paczka II sem. 21_22/Algorytmy i Struktury Danych,Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych,187,331,175,0.9358,0.5102,199,350
Paczka II sem. 21_22/Algorytmy i Struktury Danych,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Algorytmy i Struktury Danych,187,198,175,0.9358,0.8333,199,209
Paczka II sem. 21_22/Układy Cyfrowe,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe,982,964,901,0.9346,0.8622,1267,1236
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA,286,818,267,0.9336,0.3190,289,1088
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 16,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 16,15,24,14,0.9333,0.5600,15,24
Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Stara Paczka,Paczki Infa/4 SEM/(PT) Platformy Technologiczne/Wykłady,362,134,125,0.9328,0.3369,388,142
Paczka II sem. 21_22/Programowanie Obiektowe,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/laborki,1394,208,194,0.9327,0.1378,1453,212
Paczka II sem. 21_22/Programowanie Obiektowe,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/laborki,1394,200,186,0.9300,0.1321,1453,204
Paczka II sem. 21_22,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii,3406,3367,3129,0.9293,0.8587,3782,3938
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 17,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 17,14,23,13,0.9286,0.5417,14,23
Paczki Infa/4 SEM/(SI) Sztuczna Inteligencja/Stara Paczka/Projekty,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Sztuczna Inteligencja/Projekty,86,14,13,0.9286,0.1494,86,14
Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Systemy Wbudowane i Mikroprocesory/Labki/Materiały (zgrane 2016-03-30 z komp. laboratoryjnego)/Czesc_1_PIC18F4520,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Systemy Wbudowane i Mikroprocesory/Labki/PIC,14,130,13,0.9286,0.0992,19,198
Paczka II sem. 21_22/Podstawy Fizyki,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Podstawy Fizyki,165,177,153,0.9273,0.8095,170,182
Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych/Laby,331,55,51,0.9273,0.1522,350,55
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Algorytmy i Struktury Danych,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych/Laby,198,55,51,0.9273,0.2525,209,55
Paczka I sem. 22_23/Algebra Liniowa,Paczki INFA/Paczka 1 sem. 23_24/(AL) Algebra Liniowa,27,89,25,0.9259,0.2747,27,99
Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych,Paczki Infa,331,12980,306,0.9245,0.0235,350,22747
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 1,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 1,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 15,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 15,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 18,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 18,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 19,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 19,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 2,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 2,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 21,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 21,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 22,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 22,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 23,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 23,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 3,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 3,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 5,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 5,13,22,12,0.9231,0.5217,13,22
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 6,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Ćwiczenia/2018/kolokwium2/AKO 23 zadania/Zadanie 6,13,22,12,0.9231,0.5217,13,22
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/laboratorium_2/lab_2/lab_2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/laboratorium_2/lab_2/lab_2,13,13,12,0.9231,0.8571,13,13
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_3.5/lab_3.5/lab_3.5,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_3.5/lab_3.5/lab_3.5,13,13,12,0.9231,0.8571,13,13
Paczki Infa/4 SEM/(MN) Metody Numeryczne/Stara Paczka/Lab,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Numeryczne/Lab/2020/Lab 7,237,13,12,0.9231,0.0504,283,13
Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych,Paczki Infa/2 SEM,331,3638,305,0.9215,0.0832,350,4126
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA,242,818,223,0.9215,0.2664,245,1088
Paczki Infa/4 SEM/(SI) Sztuczna Inteligencja,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Sztuczna Inteligencja,749,292,269,0.9212,0.3484,924,341
Paczka II sem. 21_22/Podstawy Fizyki,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Fizyki,165,176,152,0.9212,0.8042,170,181
Paczka I sem./Wytwarzanie Aplikacji Internetowych,Paczki INFA/Paczka 1 sem. 23_24/(WAI) Wytwarzania Aplikacji Internetowych,38,147,35,0.9211,0.2333,38,160
Paczka II sem. 21_22/Programowanie Obiektowe/laborki,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/laborki,202,200,184,0.9200,0.8440,206,204
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone,Paczki INFA/Paczka 2 sem. 23_24/Układy Cyfrowe/gotowce/MEGAPAKA,286,796,263,0.9196,0.3211,289,1065
Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych,331,74,68,0.9189,0.2018,350,74
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Algorytmy i Struktury Danych,Paczki Infa/2 SEM/(AiSD) Algorytmy i Struktury Danych,198,74,68,0.9189,0.3333,209,74
Paczki Infa/4 SEM/(MPwI) Metody Probabilistyczne w Informatyce/Stara Paczka,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Probabilistyczne w Informatyce,61,64,56,0.9180,0.8116,61,64
Paczki Infa/4 SEM/(SI) Sztuczna Inteligencja/Stara Paczka,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Sztuczna Inteligencja,349,292,268,0.9178,0.7185,391,341
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/2024peim,SEM2/PEiM_Podstawy_Elektroniki_i_Metrologii,24,30,22,0.9167,0.6875,24,30
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Laby/inne,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/inne,12,12,11,0.9167,0.8462,12,14
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/lab_2.3/lab_2.3,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/lab_2.3/lab_2.3,12,12,11,0.9167,0.8462,12,12
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/lab_nowa2/lab_nowa2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/lab_nowa2/lab_nowa2,12,12,11,0.9167,0.8462,15,15
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_2/laboratorium/laboratorium,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_2/laboratorium/laboratorium,12,12,11,0.9167,0.8462,14,14
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_3.2/lab_3.2/lab_3.2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_3.2/lab_3.2/lab_3.2,12,12,11,0.9167,0.8462,12,12
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_3.3/lab_3.3/lab_3.3,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_3.3/lab_3.3/lab_3.3,12,12,11,0.9167,0.8462,12,12
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_3.4/lab_3.4/lab_3.4,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_3.4/lab_3.4/lab_3.4,12,12,11,0.9167,0.8462,12,12
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_A/lab_A/lab_A,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_A/lab_A/lab_A,12,12,11,0.9167,0.8462,12,12
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_A_2/lab_A_2/lab_A_2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_A_2/lab_A_2/lab_A_2,12,12,11,0.9167,0.8462,12,12
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_3/lab_A_3/lab_A_3/lab_A_3,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_3/lab_A_3/lab_A_3/lab_A_3,12,12,11,0.9167,0.8462,12,12
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/2019/lab_5/zad.2/zad.2,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/2019/lab_5/zad.2/zad.2,12,12,11,0.9167,0.8462,12,12
Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Systemy Wbudowane i Mikroprocesory/Labki/Materiały (zgrane 2016-03-30 z komp. laboratoryjnego)/Czesc_1_PIC18F4520/cw3,Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Systemy Wbudowane i Mikroprocesory/Labki/PIC,12,130,11,0.9167,0.0840,12,198
Paczka II sem. 21_22/Układy Cyfrowe/gotowce/MEGAPAKA/06. Liczniki scalone/lab 6/EW/EW,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Układy Cyfrowe/gotowce/MEGAPAKA,227,818,208,0.9163,0.2485,230,1088
Paczki Infa/3 SEM/(BD) Bazy Danych/Wykłady,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Bazy Danych,58,122,53,0.9138,0.4173,59,132
