folder_a,folder_b,unique_a,unique_b,common,ratio_min,jaccard,files_a,files_b
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Metrologia,Paczki Infa/2 SEM,89,3638,89,1.0000,0.0245,89,4126
Paczka II sem. 21_22/Programowanie Obiektowe/laborki/Lab 2,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/laborki/Lab 2,93,88,88,1.0000,0.9462,95,90
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2,93,88,88,1.0000,0.9462,96,91
Paczki Infa/4 SEM/(MN) Metody Numeryczne/Stara Paczka/Lab/Labki (2019),Paczki Infa/4 SEM/Stare Paczki/Paczka IV sem/Metody Numeryczne/Lab/Labki (2019),87,88,87,1.0000,0.9886,88,89
Paczka II sem. 21_22/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2,93,86,86,1.0000,0.9247,96,89
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/przykladowe projekty/stare (nie wszystkie działają)/zestaw 2,88,86,86,1.0000,0.9773,91,89
Paczka II sem. 21_22/Programowanie Obiektowe/laborki/Lab 2,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/laborki/Lab 2,93,81,81,1.0000,0.8710,95,83
Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Programowanie Obiektowe/laborki/Lab 2,Paczki INFA/Paczka 2 sem. 23_24/Programowanie Obiektowe/laborki/Lab 2,88,81,81,1.0000,0.9205,90,83
Paczki INFA/Paczka 3 sem. 23_24/(FW) Fizyka współczesna/Kolokwium,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Fizyka Współczesna/Kolokwium,89,81,81,1.0000,0.9101,89,81
Paczki INFA/Paczka 3 sem. 23_24/(MII) Multimedia i Interfejsy/Stara Paczka,Paczki Infa/3 SEM/(MII) Multimedia i Interfejsy/Stara Paczka,81,82,81,1.0000,0.9878,82,83
Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Fizyka Współczesna/Kolokwium,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Fizyka Współczesna/Kolokwium,84,81,81,1.0000,0.9643,84,81
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Laby/Gotowiec 6 (2018)+ chyba WSZYSTKIE wejściówki Cejrowskiego,Paczki Infa/3 SEM/Stare Paczki/Paczka III sem. 21_22/Architektura Komputerów/Laby/Gotowiec 6 (2018)+ chyba WSZYSTKIE wejściówki Cejrowskiego,69,109,69,1.0000,0.6330,69,114
Paczki INFA/Paczka 3 sem. 23_24/(AKO) Architektura komputerów/stara_paka/Stara paczka/Laby/Gotowiec 6 (2018)+ chyba WSZYSTKIE wejściówki Cejrowskiego,Paczki Infa/3 SEM/Stare Paczki/Semestr 3 paczka/Architektura Komputerów/Laby/Gotowiec 6 (2018)+ chyba WSZYSTKIE wejściówki Cejrowskiego,69,109,69,1.0000,0.6330,69,109
Paczka II sem. 21_22/Jezyk Angielski/podreczniki,Paczki INFA/Paczka 2 sem. 23_24/Podstawy Elektroniki i Metrologii/Jezyk Angielski/podreczniki,67,71,67,1.0000,0.9437,67,71
Paczka II sem. 21_22/Matematyka Dyskretna/ćwiczenia,Paczki INFA/Paczka 2 sem. 23_24/Algorytmy i Struktury Danych/Matematyka Dyskretna/ćwiczenia,82,65,65,1.0000,0.7927,82,65
